"Brand_Reg","Model_No","SoldIn","screensize","Screen_Tech","Avg_mode_power","Star Rating Index","Submit_ID","Screensize_inches"
"JVC","LT-32ND35A2","Australia",80.039,"LCD (LED)",35.3,4.409753463503695,154403,32
"JVC","LT-32ND35AS","Australia",80.039,"LCD (LED)",36.9,4.56169137395495,160504,32
"JVC","LT-32NQ3165A","Australia,Fiji,New Zealand",80.054,"LCD (LED)",25.26,5.798969155812304,171841,32
"JVC","LT-32NQ5155A","Australia,Fiji,New Zealand",80.054,"LCD (LED)",24.84,5.798969155812304,166272,32
"JVC","LT-40*******","Australia,Fiji,New Zealand",100.305,"LCD (LED)",32.46,6.022503316218213,173795,39
"JVC","LT-40N5115A11","Australia",100.791,"LCD",36.7,5.118073049588307,148693,40
"JVC","LT-40N5115A11E","Australia",100.36,"LCD (LED)",54.48,4.550480363705366,157736,40
"JVC","LT-40N5115AM","Australia",100.344,"LCD (LED)",35,6.01894107318675,144599,40
"JVC","LT-40N5155A","Australia",100.332,"LCD (LED)",48.76,4.811354439400725,160645,40
"JVC","LT-40N7145A","Australia",101.51,"LCD (LED)",64.06,3.733461271230745,158245,40
"JVC","LT-40NQ5155A","Australia,Fiji,New Zealand",100.305,"LCD (LED)",32.46,6.022503316218213,173795,39
"JVC","LT-40NQ5165A","Australia,Fiji,New Zealand",100.305,"LCD (LED)",32.46,6.022503316218213,173795,39
"JVC","LT-42N5125A","Australia,Fiji",105.396,"LCD",57.6,4.506395613917393,142983,41
"JVC","LT-42NQ5155A","Australia",105.422,"LCD",38.2,6.404224337872835,164996,42
"JVC","LT-42NQ5155AJ","Australia",105.415,"LCD (LED)",49.21,5.131059626662445,170151,42
"JVC","LT-43N5135A","Australia",107.863,"LCD",55.635,5.255491804459134,152812,42
"JVC","LT-43N5135AE","Australia",107.947,"LCD (LED)",39.24,4.7649139916034216,158544,42
"JVC","LT-43N5135AN","Australia",107.999,"LCD",53.26,5.468284088523051,157956,43
"JVC","LT-43N7125A","Australia,Fiji",107.814,"LCD",49.98,4.636007606228578,145467,42
"JVC","LT-43NQ5155A","Australia,Fiji,New Zealand",107.95,"LCD (LED)",38.4,6.287078165081274,166273,42
"JVC","LT-43NQ5165A","Australia,Fiji,New Zealand",107.95,"LCD (LED)",38.4,6.287078165081274,171630,42
"JVC","LT-43NQ7155A","Australia,Fiji,New Zealand",107.863,"LCD (LED)",47.04,5.502650280472722,168014,42
"JVC","LT-50N7145A","Australia",125.251,"LCD",102.36,3.74369813786958,153609,49
"JVC","LT-50N7145AE","Australia",125.638,"LCD (LED)",47.5,6.366036695892506,160114,49
"JVC","LT-50NQ7115A","Australia,Fiji",125.589,"LCD",86.3,4.019291093555415,145635,49
"JVC","LT-50NQ7115A11","Australia",125.093,"LCD",60.73,5.489942004042138,150091,49
"JVC","LT-50NQ7145A","Australia,Fiji,New Zealand",125.731,"LCD (LED)",49.6,6.371851645208939,166493,50
"JVC","LT-50NQ7145AE","Australia,Fiji,New Zealand",125.731,"LCD (LED)",49.6,6.371851645208939,166493,50
"JVC","LT-50NQ7145AN","Australia",125.725,"LCD",110.72,3.404361801540006,157965,49
"JVC","LT-55N7115A11","Australia,Fiji",138.412,"LCD",102,4.570491731771872,148696,54
"JVC","LT-55N7115A11E","Australia",138.711,"LCD (LED)",60.9,6.449270084292677,162441,55
"JVC","LT-55N7115AM","Australia,Fiji",138.886,"LCD (LED)",87.3,4.767875082608744,144600,55
"JVC","LT-55N7155A","Australia,Fiji,New Zealand",138.798,"LCD (LED)",112.38,3.6078911502493303,168016,55
"JVC","LT-55N7165A","Australia,Fiji,New Zealand",138.798,"LCD (LED)",112.38,3.6078911502493303,168016,55
"JVC","LT-55NE7155A","Australia,Fiji,New Zealand",139.936,"OLED",75.48,5.661537840669303,173258,55
"JVC","LT-55NQ7105A11","Australia",138.783,"LCD",72.4,5.15546094080525,150327,55
"JVC","LT-55NQ7105AM","Australia,Fiji",138.798,"LCD",100.2,4.292298502011051,142985,55
"JVC","LT-55NQ7105AT2","Australia,Fiji",138.783,"LCD (LED)",63.94,5.293361671010193,144723,55
"JVC","LT-55NQ7145A","Australia",138.798,"LCD",126.52,3.627166105201241,156711,55
"JVC","LT-55NQ7145AN","Australia",138.798,"LCD",97.36,4.789429429855246,157838,55
"JVC","LT-55NQ7155A","Australia,Fiji,New Zealand",138.798,"LCD (LED)",61.38,6.45268452993256,166274,55
"JVC","LT-55NQ7155AW","Australia,Fiji,New Zealand",138.798,"LCD (LED)",61.38,6.45268452993256,166274,55
"JVC","LT-55NQ7155AX","Australia,Fiji,New Zealand",138.798,"LCD (LED)",61.38,6.45268452993256,166274,55
"JVC","LT-55NQ7165A","Australia,Fiji,New Zealand",140.494,"LCD (LED)",58.7,6.580323114134935,172681,55
"JVC","LT-65N7115A11","Australia,Fiji",163.132,"LCD",124.968,4.5493455240483325,148694,64
"JVC","LT-65N7115A11E","Australia",163.829,"LCD (LED)",104.2,5.51437398334165,160785,64
"JVC","LT-65N7115AM","Australia,Fiji",163.682,"LCD (LED)",93,6.012924571152087,144733,64
"JVC","LT-65N7165A","Australia,Fiji,New Zealand",163.829,"LCD (LED)",156.42,3.5730691436017716,168018,64
"JVC","LT-65NE7155A","Australia,Fiji,New Zealand",165.884,"LCD (LED)",107.58,5.301278232513499,168019,65
"JVC","LT-65NQ7155A","Australia,Fiji,New Zealand",163.829,"LCD (LED)",105.96,5.1714794128570825,166276,64
"JVC","LT-65NQ7155AW","Australia,Fiji,New Zealand",163.829,"LCD (LED)",105.96,5.1714794128570825,166276,64
"JVC","LT-65NQ7155AX","Australia,Fiji,New Zealand",163.829,"LCD (LED)",105.96,5.1714794128570825,166276,64
"JVC","LT-65NQ7165A","Australia,Fiji,New Zealand",163.508,"LCD (LED)",66.42,6.976828680582021,173272,64
"JVC","LT-70N7145A","Australia",176.563,"LCD (LED)",116.74,5.59223346725026,157597,70
